Habitat,DOC
LAKE,4.824932157
LAKE,5.160286538
LAKE,5.622886374
LAKE,5.752198
LAKE,5.900079581
LAKE,6.087831754
LAKE,6.568911277
LAKE,7.162362
LAKE,7.86322151
LAKE,8.863262182
LAKE,9.720673239
LAKE,10.82192626
POND,17.87944306
POND,18.66492168
POND,18.98598694
POND,20.80043215
POND,20.84042613
POND,21.34499627
POND,21.41028388
POND,21.5235065
POND,22.05180518
POND,22.08261866
POND,22.31431064
POND,22.82707391
POND,23.65244146
POND,23.94701039
POND,24.48464712
POND,25.41586874
POND,25.83160656
POND,27.11130362
POND,27.51594396
POND,31.1623918
