Variedad,Tipo_muestra,Hongos_totales,,
Sweet globe,Testigo,2.10E+06,,
Sweet globe,Testigo,1.60E+06,,
Sweet globe,Testigo,2.34E+06,,
Sweet globe,Testigo,1.78E+06,,
Sweet globe,Testigo,3.00E+06,,
Sweet globe,Testigo,2.40E+06,,
Sweet globe,Testigo,2.30E+06,,
Sweet globe,Testigo,3.10E+06,,
Cotton candy,Testigo,2.98E+06,,
Cotton candy,Testigo,2.91E+06,,
Cotton candy,Testigo,1.99E+06,,
Cotton candy,Testigo,2.45E+06,,
Cotton candy,Testigo,3.20E+06,,
Cotton candy,Testigo,4.00E+06,,
Cotton candy,Testigo,2.42E+06,,
Cotton candy,Testigo,3.87E+06,,
Sweet globe,Tratado,4.55E+06,,
Sweet globe,Tratado,4.10E+06,,
Sweet globe,Tratado,4.36E+06,,
Sweet globe,Tratado,4.01E+06,,
Sweet globe,Tratado,4.34E+06,,
Sweet globe,Tratado,4.21E+06,,
Sweet globe,Tratado,4.65E+06,,
Sweet globe,Tratado,4.13E+00,,
Cotton candy,Tratado,4.13E+06,,
Cotton candy,Tratado,4.15E+06,,
Cotton candy,Tratado,4.51E+06,,
Cotton candy,Tratado,4.78E+06,,
Cotton candy,Tratado,4.78E+06,,
Cotton candy,Tratado,4.23E+06,,
Cotton candy,Tratado,4.76E+06,,
Cotton candy,Tratado,4.32E+06,,
